Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
DĘBIEC (60),60,22,8/3,60/22/8/3,0.0012,Zespół Szkolno-Przedszkolny Nr 3   ,
DĘBIEC (60),60,06,12/3,60/06/12/3,0.137,Zarząd Transportu Miejskiego w Poznaniu   ,
MORASKO (54),54,36,443/1,54/36/443/1,0.235,Zarząd Dróg Miejskich   ,
DĘBIEC (60),60,06,49,60/06/49,0.2065,Szkoła Podstawowa nr 84 im.Tadeusza Kościuszki   ,2016-05-28T04:00:00+02:00
DĘBIEC (60),60,16,24,60/16/24,0.091,Technikum nr 19 im. Marszałka Józefa Piłsudskiego   ,2017-11-24T02:00:00+01:00
DĘBIEC (60),60,07,99,60/07/99,0.4563,Zespół Szkół Mechanicznych im.Komisji Edukacji Narodowej   ,
DĘBIEC (60),60,18,15/1,60/18/15/1,0.6853,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
RADOJEWO (55),55,12,4/2,55/12/4/2,0.9039,Zarząd Dróg Miejskich   ,
WILDA (61),61,09,17/34,61/09/17/34,18.2121,Zarząd Zieleni Miejskiej   ,
WILDA (61),61,09,17/35,61/09/17/35,0.1836,Zarząd Zieleni Miejskiej   ,2016-02-08T02:00:00+01:00
WILDA (61),61,13,93/5,61/13/93/5,0.3322,Zespół Szkolno-Przedszkolny nr 18   ,
UMULTOWO (56),56,14,385/6,56/14/385/6,1.794,Zespół Szkolno-Przedszkolny nr 9   ,2019-03-19T02:00:00+01:00
RADOJEWO (55),55,12,170/1,55/12/170/1,0.1551,Zarząd Dróg Miejskich   ,
DĘBIEC (60),60,19,10/26,60/19/10/26,0.0841,"Przedszkole nr 81 ""Skrzata Borodzieja""   ",
DĘBIEC (60),60,27,1/5,60/27/1/5,11.8444,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,06,12/5,60/06/12/5,0.06,Zarząd Transportu Miejskiego w Poznaniu   ,
DĘBIEC (60),60,01,4/27,60/01/4/27,0.0527,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,01,4/28,60/01/4/28,0.1389,Zarząd Zieleni Miejskiej   ,
UMULTOWO (56),56,21,228/44,56/21/228/44,0.0139,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,15,25/98,56/15/25/98,0.0011,Zarząd Dróg Miejskich   ,
